candidate,param_kind,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high,param_beta,param_threshold,param_scale,param_shift
linear_beta_0.90,linear,2.251636397620415,0.874092490460869,0.20326086956521738,0.3717391304347826,0.01721586383470859,2.2264076879861876,2.282085779654743,0.011914365886486809,0.03190003117293979,0.9,,,
density_scale_2.0_shift_+0.50,density,2.252030413163019,0.8738513608490428,0.20407608695652174,0.38125,0.019722526465968636,2.225675914255672,2.2833165943331686,0.008576584705271303,0.03465848288722646,,,2.0,0.5
density_scale_1.0_shift_+0.50,density,2.25234157144081,0.8738679152388769,0.20625,0.3798913043478261,0.018927389069259216,2.2260519807456305,2.283717721469537,0.007044943096083422,0.034341682610193054,,,1.0,0.5
reference_B_markov_laplace,reference_B_markov_laplace,2.2524345694806622,0.8743438936045537,0.19619565217391305,0.37418478260869564,0.0077229902760694025,2.227614499106577,2.2819269360455823,0.0037229155593197574,0.021700764920983658,,,,
density_scale_5.0_shift_+0.50,density,2.252615820699525,0.8740798147288338,0.20244565217391305,0.38315217391304346,0.020408984926919324,2.2260295797204814,2.283692014492989,0.011716806475979093,0.039359471292986475,,,5.0,0.5
log_beta_0.80,log,2.252705616697177,0.8736345077039619,0.20434782608695654,0.3717391304347826,0.01529134880066252,2.2261749847644787,2.285157214639971,0.008814537702279657,0.032364909367842976,0.8,,,
log_beta_0.90,log,2.2528496222082635,0.8740887427200708,0.20380434782608695,0.3717391304347826,0.01829513535714218,2.226745215526826,2.2828563937455892,0.012078734047098113,0.034810941324360134,0.9,,,
linear_beta_0.50,linear,2.252990522284513,0.873953358685144,0.20625,0.3796195652173913,0.020438373538599765,2.226754657314213,2.2844596569594864,0.010271249212659837,0.03577616089837699,0.5,,,
linear_beta_0.50,linear,2.252990522284513,0.873953358685144,0.20625,0.3796195652173913,0.020438373538599765,2.226754657314213,2.2844596569594864,0.010271249212659837,0.03577616089837699,0.5,,,
density_scale_5.0_shift_-0.25,density,2.253148195907437,0.8744545429888757,0.19945652173913042,0.36875,0.017030039919430164,2.2273193327617467,2.2832401331020336,0.009189585655942925,0.03294454062101583,,,5.0,-0.25
density_scale_10.0_shift_+0.00,density,2.2533015327172548,0.8744793579260131,0.19891304347826086,0.36929347826086956,0.017563315249193242,2.2271736217134546,2.2828825202869374,0.010222702223191611,0.03275299091711331,,,10.0,0.0
gate_threshold_0.50,gate,2.254013936956431,0.8743995492142149,0.19945652173913042,0.3701086956521739,0.018165507511605675,2.227563773203612,2.2833197173979443,0.010899542708061972,0.03218796780056916,,0.5,,
log_beta_0.70,log,2.254129455722367,0.873470167683805,0.20543478260869566,0.3720108695652174,0.016580276536787637,2.2273398853162525,2.2878562108221976,0.008551336609719441,0.03350374305374494,0.7000000000000001,,,
density_scale_5.0_shift_-0.50,density,2.254340891513793,0.8746967663157587,0.1986413043478261,0.3684782608695652,0.019403787376670582,2.2286098486589765,2.2848448118535702,0.009887773371581986,0.033543394964656935,,,5.0,-0.5
gate_threshold_0.45,gate,2.254473942965083,0.8746148220841595,0.19918478260869565,0.3701086956521739,0.017472512900199026,2.228706173189205,2.283518733284776,0.009181759139556113,0.03173339386975097,,0.45,,
gate_threshold_0.60,gate,2.2546708904583768,0.8747254073678503,0.19945652173913042,0.36929347826086956,0.018800749422813626,2.228972679612221,2.284898747581062,0.011503991641682266,0.03269226752855404,,0.6000000000000001,,
density_scale_10.0_shift_-0.25,density,2.2547392413537826,0.8747735184198473,0.19918478260869565,0.3690217391304348,0.01932800960466883,2.229012884845988,2.2853073590185953,0.011562776794744213,0.03369250342792527,,,10.0,-0.25
density_scale_10.0_shift_-0.50,density,2.254911163788857,0.8748111103121722,0.19945652173913042,0.36929347826086956,0.01910033048555153,2.2292291378012146,2.285619115371687,0.011499640871749445,0.033134441441677084,,,10.0,-0.5
gate_threshold_0.70,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.7000000000000001,,
gate_threshold_0.65,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.65,,
gate_threshold_0.75,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.75,,
reference_F,reference_F,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.01888698742804056,2.229249249131674,2.2856484736974125,0.011503991641682266,0.03312367640853222,,,,
gate_threshold_0.90,gate,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.018886987428040573,2.2292492491316738,2.2856484736974125,0.011503991641682266,0.03312367640853222,,0.9,,
