mode,feature,correlation,abs_correlation
grm_mode_3,cold_hot,0.0234787523156629,0.0234787523156629
grm_mode_3,resting_hr,-0.009607883135619,0.009607883135619
grm_mode_4,resting_hr,-0.1041577550759671,0.1041577550759671
grm_mode_4,fatigue,-0.0856683690703813,0.0856683690703813
grm_mode_4,mood_calm,0.0805394821569795,0.0805394821569795
grm_mode_4,sleep_quality,0.0800477525103291,0.0800477525103291
grm_mode_4,heaviness,-0.079515483854078,0.079515483854078
grm_mode_4,appetite,0.0766703047725309,0.0766703047725309
grm_mode_4,energy,0.0660232222499909,0.0660232222499909
grm_mode_4,pain,-0.0513944879214865,0.0513944879214865
grm_mode_4,bowel_quality,0.0473397715088292,0.0473397715088292
grm_mode_4,body_temp,-0.0408808383156021,0.0408808383156021
grm_mode_4,hrv,0.0341436388787738,0.0341436388787738
grm_mode_4,cold_hot,0.0194938662356169,0.0194938662356169
grm_mode_5,fatigue,-0.1537519141353882,0.1537519141353882
grm_mode_5,energy,0.1337184504939434,0.1337184504939434
grm_mode_5,pain,-0.1082570789906635,0.1082570789906635
grm_mode_5,heaviness,-0.1053874329291121,0.1053874329291121
grm_mode_5,bowel_quality,0.0856374668063858,0.0856374668063858
grm_mode_5,mood_calm,0.0774188639308838,0.0774188639308838
grm_mode_5,sleep_quality,0.0724589166113752,0.0724589166113752
grm_mode_5,body_temp,-0.0675755658940385,0.0675755658940385
grm_mode_5,resting_hr,0.0505673363430403,0.0505673363430403
grm_mode_5,appetite,0.0337404964633692,0.0337404964633692
grm_mode_5,cold_hot,0.0227913287524686,0.0227913287524686
grm_mode_5,hrv,0.0181514363837846,0.0181514363837846
grm_mode_6,hrv,0.0828850059157248,0.0828850059157248
grm_mode_6,fatigue,0.0634385480713461,0.0634385480713461
grm_mode_6,energy,-0.0541551304570795,0.0541551304570795
grm_mode_6,pain,0.0471156054508717,0.0471156054508717
grm_mode_6,bowel_quality,-0.0407704264357105,0.0407704264357105
grm_mode_6,heaviness,0.0376550547652402,0.0376550547652402
grm_mode_6,cold_hot,-0.03310309949809,0.03310309949809
grm_mode_6,sleep_quality,-0.0326716463167541,0.0326716463167541
grm_mode_6,mood_calm,-0.0321777862933535,0.0321777862933535
grm_mode_6,resting_hr,-0.0308284126648079,0.0308284126648079
grm_mode_6,appetite,-0.0256685530781825,0.0256685530781825
grm_mode_6,body_temp,-0.0184108150426362,0.0184108150426362
grm_mode_7,fatigue,-0.1629845864051019,0.1629845864051019
grm_mode_7,energy,0.1372061813772494,0.1372061813772494
grm_mode_7,pain,-0.1134899789709402,0.1134899789709402
grm_mode_7,heaviness,-0.0961504890033806,0.0961504890033806
grm_mode_7,bowel_quality,0.0948522705118944,0.0948522705118944
grm_mode_7,sleep_quality,0.0735890118776288,0.0735890118776288
grm_mode_7,cold_hot,-0.0674347420379974,0.0674347420379974
grm_mode_7,mood_calm,0.0673012441744461,0.0673012441744461
grm_mode_7,hrv,0.0624221990859835,0.0624221990859835
grm_mode_7,resting_hr,-0.0590239244380654,0.0590239244380654
grm_mode_7,appetite,0.0415853793486794,0.0415853793486794
grm_mode_7,body_temp,-0.040424807371495,0.040424807371495
grm_mode_8,fatigue,-0.0458787020457667,0.0458787020457667
grm_mode_8,pain,-0.0399666640852258,0.0399666640852258
grm_mode_8,energy,0.0391898674880777,0.0391898674880777
grm_mode_8,cold_hot,-0.0388061170143773,0.0388061170143773
grm_mode_8,bowel_quality,0.0353785480526759,0.0353785480526759
grm_mode_8,mood_calm,0.0309834993794111,0.0309834993794111
grm_mode_8,sleep_quality,0.0300576951969276,0.0300576951969276
grm_mode_8,heaviness,-0.0297101752107837,0.0297101752107837
grm_mode_8,appetite,0.0287699487030007,0.0287699487030007
grm_mode_8,resting_hr,0.0082704362058847,0.0082704362058847
grm_mode_8,body_temp,-0.0055233662045498,0.0055233662045498
grm_mode_8,hrv,-0.0025989523885571,0.0025989523885571
